scrape_timestamp,andata_tratta,andata_data,andata_compagnia,andata_orario,andata_prezzo,ritorno_tratta,ritorno_data,ritorno_compagnia,ritorno_orario,ritorno_prezzo
2026-06-24T07:42:57.628Z,TRN→CTA,2026-12-20,Wizz Air,18:50→20:45,130,CTA→TRN,2027-01-06,Wizz Air,06:30→08:40,100
2026-06-24T16:11:07.513Z,TRN->CTA,2026-12-20,Wizz Air,18:50->20:45,130,CTA->TRN,2027-01-06,Wizz Air,06:30->08:40,100
2026-06-25T16:18:10.279Z,TRN->CTA,2026-12-20,Wizz Air,18:50->20:45,130,CTA->TRN,2027-01-06,Wizz Air,06:30->08:40,100
2026-06-25T21:47:54.823Z,TRN->CTA,2026-12-20,Wizz Air,18:50->20:45,130,CTA->TRN,2027-01-06,Wizz Air,06:30->08:40,100
2026-06-26T16:09:36.887Z,TRN->CTA,2026-12-20,Wizz Air,18:50->20:45,130,CTA->TRN,2027-01-06,Wizz Air,06:30->08:40,100
2026-06-26T21:23:36.724Z,TRN->CTA,2026-12-20,Wizz Air,18:50->20:45,130,CTA->TRN,2027-01-06,Wizz Air,06:30->08:40,100
